,title,rating,comment,date
210,Very satisfied,5.0 stars,Trying out pods for the first time! Got my starter kit bundle! Satisfied with the purchase for a sweet deal!,"August 26, 2021"
211,Works well,5.0 stars,"Works pretty well, love the red","August 14, 2021"
212,Solidly Built,5.0 stars,"Love the red, feels solid and works well!","April 01, 2021"
213,Lowkey red!,5.0 stars,Convenient and love the color!,"February 27, 2021"
214,❤️❤️,5.0 stars,❤️🔥🔥❤️🙌🙌🙌💯💯,"November 10, 2019"
215,🤞,5.0 stars,Shmack!,"July 11, 2019"
216,amazing,5.0 stars,"super convenient, long lasting, perfect. Literally no complaints. 💯🔥","March 04, 2019"
217,Red Is The Best,5.0 stars,Great Stiiizy Pen,"December 04, 2018"
218,Enjoying my battery so far been 6 months,5.0 stars,Love stizzzos,"November 12, 2018"
219,Great Quality,5.0 stars,Great Quality,"October 10, 2018"
220,💯,5.0 stars,This color is dope 💯,"September 26, 2018"
221,such a sick color,5.0 stars,my favorite color battery by far,"August 27, 2018"
222,best lookin battery for stiizy,5.0 stars,theyre are so dank,"August 08, 2018"
223,🔥🔥,5.0 stars,The best,"July 31, 2018"
224,Love my pen,5.0 stars,First pen I got as a stiiizy and I absolutely love it.,"September 08, 2018"
225,Good for the price and well made,4.0 stars,Ive been using mine for about 3 months and it’s sikk af even though the white light gave out it rips hard would recommend,"July 19, 2020"
226,good hits bad battery life,4.0 stars,i have to say it hits really really nice almost fells like inhaling nothing even when doing a blinker but the battery does not last very long even when just doing straight pulls [not a blinker] it dies rather quickly so make sure to charge before going to a sesh or when you ride solo other than that it is a great battery would fully recommended,"August 08, 2021"
227,good with its moments,4.0 stars,"a good battery, it hits well and i feel like i get a good hit even when it’s almost dead. it does seem to die fast or maybe i don’t charge it long enough. also if you leave your cartridge on while charging it does waste a little bit of it so be aware of that. but i like the one guys idea of having a few batteries for the different strains so i might do that","June 04, 2021"
228,interested,4.0 stars,is there anywhere else i can purchase one besides there web page ?,"October 16, 2018"
229,Unsatisfied,2.0 stars,"They won’t even reply when shop is open, been waiting 5 hours of texts and emails and still nothing","August 12, 2018"
230,received the wrong item,1 star,"I had ordered the red stiizy battery online and then when my order had arrived, I just got the regular black one that I already owned. :/","July 20, 2021"
231,Worst vape I’ve bought,1 star,"I bought this vape and 3 pods, it was great for a day or two but after that every pod I dropped into the battery started to leak into my mouth and then eventually just forced itself out of the pod on its own. I never charged it with a pod in place and always left it in the upright position. I do not recommend this product for the price of the pods especially if they just leak everywhere.","June 23, 2021"
232,Bummed out,1 star,"so I purchased two batteries, one for my girl and I. I love the thing they're really low key and great on the go when you just trying to sneak a toke. Unfortunately, my battery went out 8 days later. Lights won't turn on or charge.. sucks man..","January 02, 2021"
233,Not all that.,1 star,"I have been using my Stiizy for 4 months now, and am about to put it down for good. Body: the body of the battery looks very sleek, but it's surface is slippery and hard to hold onto. Combined with how thin and light it is (cheap aluminum construction) the included lanyard is necessary. The lanyard is honestly the best part. Performance: for a proprietary product, it leaves a lot to be desired. It has consistent connection issues between the battery and the cartridges no matter how clean the contact points are. Over time this becomes a consistent problem. The carts also clog very easily. For every three hits I take It having to unclog it and it is really frustrating. Add to that the carts seem to be very inconsistent but mostly on the weak side, and it makes this one to avoid.","November 09, 2021"
234,Disappointed,1 star,I bought the red stiiizy pen and a week later it stopped charging out of nowhere. Don’t know what happen to it just stopped charging. Do you know the problem or what could of happen?,"August 08, 2018"
235,great prices an deal they hooked me up,5.0 stars,great prices an deal they hooked me up,"August 31, 2023"
236,taps,5.0 stars,swift drops Active 24/7 Sna.pch.at: Ha.rdO.z7.10 tel eg.ram: HardOz.7.10,"August 07, 2023"
237,Not available,1 star,Apparently everything that is advertised for Curaleaf for the pick up on that girl is not available they don’t have it and everything is incorrect. It is advertise on Weedmaps and has been for a year according to the associates so my review is -0,"August 29, 2023"
238,a Review coming from 4th Dimension.,5.0 stars,"Yeaaaaaaaaaaaaa! No more sneaking out on the room and go to the bar and open the cabinet under the sink and reach further just to get the lens box and pick a flower and grind it then pipe it then go outside to smoke 5 times and go hide it again and go to restroom and drink a glass of listerine just to elimanate the smells and go back to the room and get to bed. While gf asleep. But this one is awsome! I’ll tell her I’m just go wee-wee, then open the sink cabinet and reach underneath to grab the pen w/ velcro and smoke 3 times, no smell all good go back to bed. From 30mins to 3mins. Brooo wtf!! I’m flyyyyyyiiingggggggggg! Ultimate Mind Blown. Life saver! And Time Saver!!! Stiizyyy is the best!!!","February 20, 2019"
239,RENAME THE PRODUCT FOR FUCKS SAKE,5.0 stars,Starter kit sounds like its a WHOLE set up. VERY MISLEADING FOR ALOT OF PATIENTS. Whats so hard about calling it a battery on the box.. GEEZ,"July 22, 2018"
240,Totally Worth it moisture makes it “leak”,5.0 stars,"After a few uses it pays for itself, people claiming it leaks have to realize their salvia has to go somewhere, right? Make sure your lips are dry and your cart won’t “leak”. I assumed it leaked as well however moisture does travel I like the design it’s sleek and discreet. Awesome magnetic 🧲 snap on pods that tastes great and clean. For only around 25 bucks depending on your dispensary you get a cool, quick charging, automatic puff detection; no need to hold down a button because the way it works is simple yet very efficient, you simply “puff” away and it lights down to let you know when it’s time to be charged. Very fast minimal charging time, decent battery life for the small physical size of the battery. Overall a good product from an awesome company that is setting the new standard for quality.","January 26, 2019"
241,if you're going through a pod in a day wow,5.0 stars,this thing is amazing. if you're going through a pod in a day wow get a life or a job. I can't believe somone would suck on it all day thrn complain it doesn't last.,"March 09, 2018"
242,defective battery,5.0 stars,"Love the battery. It's not as resilient as I would like - had one break because the two contacts inside the battery seemed to fail and no longer cobust the product. STIIIZY support was awesome and got me another battery replacement from my delivery guy. They reached out and contacted the business to get it set up. I love the look of the product, great overall design.","January 04, 2018"
243,Was all about this brand but,5.0 stars,"The plastic is cheap. Once you get past the wow phase of the sleek design the problems come to the surface. Battery dies faster than any pen I’ve dealt with, 3 or 4 pulls and you can feel the tip getting so hot that sometimes it even spits the oil onto your tongue and this thing is a magician, your pod can be gone in a day and a half not even at times. Cool design, definitely needs a lot of work. I wouldn’t suggest this without doing your own research cause everyone else would have you believe its godsend but in my honest opinion after buying 20-25 I’m done. Unless they redesign the pods I won’t be coming back","March 08, 2018"
244,So Far So Good,5.0 stars,"I LOVE that the pod isn't glass because I have dropped it 3 times so far. It hits hard and very smoothly and a little goes a long way. In my area most places seem to sell it, and everyone has been out of the Plug Play, so I finally decided to give it a try. I am happy with it overall. This unit is physically lighter and a bit sleeker than the Plug Play, and doesn't require you to push a button to hit, but I feel like the hits are slightly harsher with the Stiiizy. With both I'm a bit leery of having a battery than can ONLY be used with ONE company's cartridge bc if they suddenly go out of business/stop producing quality products/raise their prices 400%/piss me off somehow, than I have invested in something I won't be able to use. Having said that, I have been very pleased with both thus far, and while I don't think Stiiizy is AS amazing as the hype suggested, the quality, style, and ease of use have won me over. A price decrease wouldn't go amiss though... 😜","March 18, 2019"
245,A dream come true,5.0 stars,"If you're like me you been smoking a while you tried pre-rolls edibles things like that and they didn't cut it. This is the Solution right here, man. Charge the battery the ""Pen"", the STIIIZY for a couple hours and make sure to stock up during the sales at your local Dispensary, the PODS are addictingly good and hit every time. More expensive but way worth it. You could buy like four or five pre-rolls and still not get as high as these pens. All you really need is a few hits and you'll be ready to rock n roll a","September 03, 2020"
246,Better than pax for affordable price,5.0 stars,Figured it was worth the 20 dollar gamble on the battery and 30 (at my shop) for pod was worth the gamble for something portable and discreet... I was very happy to find it went above and beyond my expectations. As a hater of vape products and a skeptic of the content quality /quality of builds I have to say I’m impressed. May have even changed my opinion on vapes.. actually feels like a dab and battery lasts a min. Very pleased.,"December 16, 2017"
247,Brownstown Michigan,5.0 stars,Smooth Very relaxing Need to make pods cheaper but good quality product,"July 21, 2020"
248,hola bunas tardes,5.0 stars,tengo un sobrino que le dan ataques de epilepsia y la verdad quierara tratarlo con mariguana no se que tan recomendable sea,"July 25, 2021"
249,New Stiiizy User,5.0 stars,Stiiizy pls hook me up with some free stuff so I can do some in-depth reviews. Your battery is an amazing instrument that is revolutionary. Try a hybrid with your first dose of this amazing medicine.,"August 25, 2018"
250,"Quick , kind, Dope",5.0 stars,Had a great experience ordering from them. Had a nice chat with the driver and got a free pre roll! Couldn’t have gone better. Definitely recommend !,"May 03, 2022"
251,Genius design.,5.0 stars,"I like how it lights up when you place a cartridge inside. I was sold a fake cart recently and when I loaded it in it lit up blue instead of the normal light, thus notifying me that something was up.","February 11, 2019"
252,enhanced stoner tech,5.0 stars,awesome sauce thanks for supplying great quality producta,"May 14, 2020"
253,Better than the BIIG,5.0 stars,"Greetings, ya'll. I come here to emphasize that the 2 BIIIG batteries I purchased were awful and would never maintain connection with any size pod. THIS battery does the job. take a small hit every 30 seconds (minimum), and it doesn't overheat the pod and expertly delivers the hit.","October 05, 2021"
254,I fucken love this vape pen it's the dopest!,5.0 stars,I love the new colors they just released I bought the blue one today I love it so much ! I had just bought 2 pens (black edition) cause of I only smoke stiiizy !,"July 21, 2018"
255,Classic,5.0 stars,Discrete and does the job!,"May 22, 2021"
256,Amazing,5.0 stars,Absolutely love it and the price is so after.,"April 30, 2020"
257,best for real smokers,5.0 stars,"I’ve always smoked flower and have tried many vapes, this is the first one to work for me. Love the pod system!","March 04, 2023"
258,Love this,5.0 stars,Gonna start vaping since I dont want my car to smell so much,"March 15, 2022"
259,Stiiizy starter kit,5.0 stars,I normally prefer flower but I just got this starter kit and it has been so awesome to travel with. Charges quick and has a cool slick design that's easy to carry on your person.,"July 20, 2021"
260,Best In Class,5.0 stars,"Powerful & delicious. Please release an array of Sativa strains of LIVE RESIN. Doing great, guys.","January 02, 2021"
261,IN LOVE!,5.0 stars,"what more can I say? doesn't break the bank, comes with the charger, hits unbelievably smooth and nice, very DISCREET. you can't beat it, STIIIZY is the best! I love THE SVF OG INDICA for bedtime. STIIIZY all the way! :)","December 02, 2020"
262,Amazing,5.0 stars,"What can I say? This is just the best out here that you can get. Very small and discrete, perfect for daily smoking. I’d 200% recommend","November 15, 2020"
263,the pen is 💯,5.0 stars,love the sleek design of the planned it's very discreet and I'm able to use it in public which is a huge plus for me since I'm a medical marijuana patient of 10 years plus I wish I'd gotten it in the rose color though black cool though 💕💞💯,"May 17, 2019"
264,amazing battery,5.0 stars,i just bought this today and literally the first fucking hit got me stupid faded. absolutely love 10/10 would totally recommend for everyone with the original battery pack to update,"April 15, 2019"
265,I like it so far so don't mess it up STIIIZY!!!,5.0 stars,Fire as fuck I bring this shit into clubs and smoke fat 😇😁😁😁😁😁,"March 19, 2019"
266,best pen on the Market,5.0 stars,when i first bought the stiiizy I admit I was a bit skeptical. the Sleek small design of the unit and Battery are seriously misleading . I can't believe how powerful the battery really is and the wax is of the best quality. thank you for making an awesome pen,"March 01, 2019"
267,I Love Stiizy But Don't Have One!,5.0 stars,I Love the whole idea with Stiizy I think there a very good company and these Stiizy products are my life I need one but because of where I live I can't get ahold of one someone please help!,"February 22, 2019"
268,Great service,5.0 stars,"Iv been with my stillzy for about 4 months and it finally stop working, like it stopped charging. Cant really complain because I’m always dropping my stillzy and it never broke until last week. I went to the shopping thinking I was going to have to buy a new stillzy, but they replaced mine and gave me a new one ! The stillzy’s are great ! Always coming through at work or getting me through a rough day.","October 26, 2018"
269,Stiiiiiizy,5.0 stars,These batteries are great. Super convenient and the pods pack a punch. Hopefully they become more available across other services as it’s occasional hard to come by if the few places in the area are low on stock. If you charge the battery soon after it changes to red it only takes about an hour to recharge. Probably need to charge it every 2 days but I get heavy use out of it.,"September 20, 2018"
270,danky af,5.0 stars,"i love this pen, i came up on one while at Coachella, dope af, hits great, hella danky cartridges","July 04, 2018"
271,Worth it! Stiiizy is Dank!,5.0 stars,Never had a problem with it. Lasts usually 2 days and charges in 40 minutes this battery will last you if you follow the instructions in the users manual. The thin sleek design is perfect to stash anywhere smoke anywhere discreetly.,"May 19, 2018"
272,quick question....,5.0 stars,does anybody know for how long to charge a stiiizy starter pack? is it possible to over charge it???,"April 26, 2018"
273,The best !!,5.0 stars,I got this as a valentines gift. My battery last me for 3 days. Wow. I love this pen 😍,"March 03, 2018"
274,awesome packaging awesome product,5.0 stars,Let me start by staying my battery came charged and ready to use out the box 🤘thank you for this I don't want to charge a battery before I medicate 👍👍 this is innovation at it's finest ⭐⭐⭐⭐⭐ it also comes with a user friendly guide and the USB cable to charge it when not medicating 😁,"November 04, 2017"
275,no vapes,5.0 stars,no vapes flower only,"February 05, 2022"
276,THE BEST IN THE WEST,5.0 stars,"Always can trust their products! 10/10, would recommend STIIIZY to everyone","June 11, 2020"
277,works great!,5.0 stars,i bought one of these a couple months ago and it hits like a truck!,"June 02, 2023"
278,Chronic n high times THC,5.0 stars,Great product and the quality of the product is phenomenal,"July 30, 2022"
279,Classic black,5.0 stars,"Classic black, classy black. Device works perfectly and seems sturdy","April 15, 2022"
280,Amazing!!!,5.0 stars,I love this kit!!!! I one-hundred percent recommend it. It’s easy to use and charges quickly. ♡,"April 08, 2022"
281,love,5.0 stars,came in a couple dayz ago and tried this strain for the first time and i rate it 5 stars. coming back soon,"November 04, 2021"
282,clean,5.0 stars,maybe a lil pricey but its aight,"June 02, 2021"
283,Great starter product!,5.0 stars,If you're new to this and not sure what to get I highly recommend picking up this kit. Great quality,"August 21, 2020"
284,Very nice,5.0 stars,This thing is great. I been using it for days and the battery is still good.,"March 24, 2020"
285,Love it so much!,5.0 stars,"I’ve had a lot of wax pens and this one has by far been my favorite. So convenient and smooth, always tastes great! Happy I found this product. :)","September 03, 2019"
286,Great Battery No Doubt,5.0 stars,Love this Battery small and perfect! 5/5 on Battery,"July 12, 2019"
287,The best,5.0 stars,My fav vape pen! I’ve only had the one and it’s lasted me a year already. The carts last for ages. Always worth the money.,"June 07, 2019"
288,Definitely durable,5.0 stars,"This dude went through some tough conditions, and it pulled through.","May 21, 2019"
289,"Simple, Great starter kit",5.0 stars,I’m an idiot and didn’t realize there is a magnetic connect haha. Works great even months after buying! Love Stiiizy!,"May 05, 2019"
290,Dependable Battery,5.0 stars,My Stiiizy Battery never fails. It holds a long charge in comparison to 510 threading batteries. I love it and I have it in pink! Can’t wait to order the Biggie,"April 18, 2019"
291,great vape battery,5.0 stars,"I bought mine 3 days ago and I've been using it constantly. it's still on the first charge. Hits great, I love it.","April 13, 2019"
292,My favorite,5.0 stars,"Black is just clean and sleek looking, the colors are cool but I like it simple! My new favorite pen!","March 10, 2019"
293,New to this,5.0 stars,How can I grab one of these starter kits?,"March 06, 2019"
294,the best,5.0 stars,Superior,"June 03, 2018"
295,Smoke with class,5.0 stars,Nothing compared to it I try all the flavors All amazing and tasty Special thanks for the CBD mango i was dreaming something like this long time ago and thank you for make it happen,"April 19, 2018"
296,Love it,5.0 stars,"Hit all day everyday. Charged it when I got it, DO NOT charge with the Pod inside or else it’ll mess everything up, and super discreet. Battery lasted me 2 weeks. Love it","April 18, 2018"
297,YOU though you knew!,5.0 stars,"And honestly as did I ! I'd like to think I'm a pen aficionado, I have tasted most of the leading brands and even some non branded pens. I've always struggled with finding the one that could truly deliver the feels I've been looking for. I wanted something to ease me through the day but if needed could carry me to the moon and back. In my line of work I needed something discrete but still cool, and honestly ever since I stumbled upon Stiizy I've been a fan. I have tried plenty of flavors and the one that is currently in my poclet is biscotti I'm all over any indica that can help me through the day, and if needed take me to that place we all want to be at. you're welcome. and #StayStiiizy","March 17, 2018"
298,Love it!,5.0 stars,"I love how it uses a regular charger, you could literally use any Android charger and it works which makes it super convenient and you know you can take it pretty much anywhere. The instructions are very clear and straightforward. I've had this for a little over 3 weeks now and have had no problems with it or any of the Stiiizy pods I've bought.","February 18, 2018"
299,Great craftsmanship siIizy,5.0 stars,Yo this pen change my view on vape pens. Super good hits and the battery seems cool as well. The color and design baffles my mind it’s easy to conceal and gets the right medication every time. Thanks.,"December 06, 2017"
300,Great stuff,5.0 stars,Never had a problem here,"May 27, 2023"
301,exelente producto maravilloso lo recomiendo 100%,5.0 stars,lo recomiendo muy efectivo,"March 03, 2023"
302,Love 3 Trees,5.0 stars,"Everyone at 3 Trees is always very friendly, helpful, & deliveries are fast & easy.","May 10, 2022"
303,super cool and friendly!!!,5.0 stars,it was my first time coming in and the staff was super friendly and welcoming. Angelo was really helpful preparing my order and asking about my day :) I’ll definitely be coming back here !!,"March 24, 2022"
304,Strawnana,5.0 stars,First time trying stiiizy and I’ve been enjoying the strawnana pod,"February 28, 2022"
305,good,5.0 stars,good stuff that’s all i gotta say,"February 19, 2022"
306,Thank you !,5.0 stars,Paul literally was amazing on timing arrival i had just finished every flower i just had with my bong lol xD He also was a very chill and positive dude and like the way he express himself he awesome !,"December 18, 2021"
307,The bees neez,5.0 stars,Tried for first time it was fire honestly,"September 14, 2021"
308,good 👍,5.0 stars,yes had his dj fed Jeff bureaucratic north,"July 22, 2021"
309,Highly Recommend,5.0 stars,Great Prices Large Selection & Friendly Staff …,"July 05, 2021"
310,Awesome service!,5.0 stars,"I was communicated with the whole time, was able to see where the driver was, and the driver was super polite! Everything came as ordered and I feel I got a good value. Thank you!","June 11, 2021"
311,So nostalgic,5.0 stars,"This product brings back so many memories, this was actually the first thing I bought from Stiiizy.","April 25, 2021"
312,Small slick and hits good,5.0 stars,I like this battery_________________________,"February 08, 2021"
313,🔥,5.0 stars,"Amazing feeling, I have never tried a better product than stizzy, I’ve been a big fan for a while and I will keep on buying them","October 06, 2020"
314,Always STIIIZY,5.0 stars,BEST PRODUCT AND QUALITY IS UNBEATABLE,"September 20, 2020"
315,Stiizy,5.0 stars,This way to fire yall got good flavors too,"August 16, 2020"
316,Last Long!!,5.0 stars,Ive had my battery for about 2 years now and it is still perfectly fine. Very discreet and chill feeling of the pen.,"August 13, 2020"
317,I love this!!!,5.0 stars,great and highly recommend,"July 03, 2020"
318,Great,5.0 stars,Very affordable for a quality battery,"May 28, 2020"
319,Fuego,5.0 stars,These things right hear go zaza,"April 15, 2020"
320,Great battery 👏,5.0 stars,Love my stiizy!!!! Best vape out there!!,"April 09, 2020"
321,One hitta quitta,5.0 stars,Hits really smooth! Charges quick!,"March 17, 2020"
322,nice,5.0 stars,worked good,"March 11, 2020"
323,Stizzy gang,5.0 stars,Amazing function and hits stronger than anything else’s,"January 06, 2020"
324,They have a great selection and it’s great!,5.0 stars,"I only get the delivery from them, and they are fast!","December 31, 2019"
325,Good starter kit,5.0 stars,Always nice to have a bundle :),"November 02, 2019"
326,sturdy,5.0 stars,Have had mine for over a year now and it works the same as when I first got it,"October 23, 2019"
327,Dope item,5.0 stars,Got be super high. It’s doooopppeee!!!!!!,"September 24, 2019"
328,Solid,5.0 stars,Solid pods and my battery has lasted me over a year. Reccomend for sure 👌,"September 22, 2019"
329,First Timer,5.0 stars,I have tried several different vape cartridges made by different brands. Stiizy is definitely one of the better ones I tried. At first I was put off by having to buy a starter kit. I thought that was lame but considering the design (pods) are totally different than other brands I gave it a pass. Glad I did because the product in the pods is very good and that's what counts in the end. Worth a try.,"August 18, 2019"
330,Dope 🔥,5.0 stars,Great product,"August 17, 2019"
331,Best sleek battery on the market.,5.0 stars,I love this brand and hate to see its reviews so low,"August 03, 2019"
332,perfect battery,5.0 stars,last for a full gram pod and has a consistent heating of the oil.,"July 22, 2019"
333,good kit,5.0 stars,loving my kit nobody knows when I'm smoking,"July 20, 2019"
334,just blown away with the quality,5.0 stars,"amazing product, great service and great prices","July 16, 2019"
335,Stezzy,5.0 stars,Love my STIIIZY my best friend gave me one for my birthday. I love that I can carry it in my pockets when outside doing my yard work. No more wasted product. If this had been around in the 70's I would have own one then.,"July 11, 2019"
336,stiizy,5.0 stars,love stiizy cartridges...airflow is perfect and can be suspenseful with a unepxected huge rip!,"June 17, 2019"
337,,5.0 stars,Love it--It's been working flawlessly since I got it!,"June 06, 2019"
338,Best new pod style vape,5.0 stars,Sleek and super slick discreet style...smooth Rips all day long!!!,"May 07, 2019"
339,love it,5.0 stars,love the taste and how it hits smooth thank you for creating such a awesome item,"April 20, 2019"
340,Good cartridges,5.0 stars,Nice tasting very potent cartridges,"April 04, 2019"
341,Best,5.0 stars,Thebest,"March 29, 2019"
342,Best pen,5.0 stars,There aren’t any better pens,"March 17, 2019"
343,Lacey is the besssst,5.0 stars,Definitely gonna be my go to spot from here on out :),"March 12, 2019"
344,Superb medicine,5.0 stars,Good looking out stiiizy you stay with that straight clean distillate.,"March 04, 2019"
345,good pens,5.0 stars,these hit good worked well.,"February 27, 2019"
346,best!!!!,5.0 stars,the best vape i’ve had. charges super fast and easy to use!!!,"December 03, 2018"
347,Do a Rasta Color!!,5.0 stars,"I have one battery, ready to buy more, give me some designs. Let me engrave my name on it. I’m ready to buy more batteries.","November 18, 2018"
348,Stiiizy is the best,5.0 stars,I just wish the battery would last longer like me. It is well hidden I can if it in my wallet if I’m in front of children so they don’t see what it but it’s amazing and so small I can take it anywhere,"October 26, 2018"
349,trippy battery but dope,5.0 stars,great quality and easy to store away,"September 11, 2018"
350,New user to stillzy products,5.0 stars,"I enjoy vaping. However now that i just switched over from BK and HH, to stillzy im really enjoying vaping more. I love the way it looks too.","August 22, 2018"
351,Best out there,5.0 stars,"This is the shit my people. Easy attachment, long lasting battery, great pods (great hits and smell) and an awesome design. You need to try it for yourself. Highly recommend this with pineapple express and blue dream.","August 06, 2018"
352,Godlike batt,5.0 stars,Crazy blinks,"August 02, 2018"
353,All I do is stiiizy,5.0 stars,Don’t f**k with anything else it’s not worth the time even anymore . I been using mj for 17 years now and since I found stiiizy there is no other way very impressed matter ‘o’ fact I’m BLOWN AWAY very discrete nice quick draw and ur good put it away nobody knows anything ⭐️⭐️⭐️⭐️⭐️x2 lol recommend this to anyone u are NOT going to find better,"August 01, 2018"
354,Barely needs to be charged,5.0 stars,"I’ve had my battery for a couple of weeks now, and I vape multiple times a day everyday and I haven’t had to charge it yet. It has great battery life, and I’ve tried many different battery products.","July 29, 2018"
355,Good shit,5.0 stars,It’s the Gooood shit,"July 26, 2018"
356,Question,5.0 stars,How old do you have to be to purchase it from a dispensary?,"June 27, 2018"
357,dude... buy one!!!,5.0 stars,Product works so good!! lasts forever perfect for quick pick me ups! A must buy!,"May 29, 2018"
358,where can I buy this is?,5.0 stars,??,"April 29, 2018"
359,i love it,5.0 stars,"i got it about 3 weeks ago and the battery is perfect for on the go.. sleek design and gives the best hits ever.. i got the gelato its fire.. ive also tried the mango cbd also fire.. bettter than brass knuckle, im a real pothead lol been smoking since 2006","April 19, 2018"
360,💯,5.0 stars,Had my stizzy pen 3 days now I’m hitting it as I write this I charged it right out the box white light came on an I vaped up nice super discreet haven’t had any problems I read a negative comment but as of now I’m happy with it I got the gelato an it’s 🔥🔥🤤🤤,"April 17, 2018"
361,Mine came charged,5.0 stars,Great pen sleek design really small works good,"April 12, 2018"
362,Best Vape Cleanest Vape,5.0 stars,Defiantly by far the best pen I have used yet!! being a industry cat I have tried them all! And stiiizy is the best overall consistency!!,"April 08, 2018"
363,my humble opinion,5.0 stars,"took to vegas for the weekend and it worked great. the battery could be better, but at the same time it's not a button like my alpine battery. Ethier way the sleekness makes up for it. this is my night pen. for when I'm going some place nice. use your other batteries for every day use. very satisfied with Stiizy vape pods as well, flame","April 03, 2018"
364,A1,5.0 stars,First I’m very fond by the packaging of the vaporizer. This mini vape is powerful. Quick charge and go. Very discreet no one will know your consuming cannabis. Nicely done STIIIZY,"February 25, 2018"
365,Best Overall design,5.0 stars,Sleek smooth innovative the future of Vape for more info contact @stiiizy_boston,"February 01, 2018"
366,I love it,5.0 stars,Super sleek and simple. Love the clean no leak style,"December 26, 2017"
367,Sleek,5.0 stars,This pen is dope,"December 01, 2017"
368,new New,5.0 stars,"I like the light feature of the battery and it is extremely easy to lose in your pocket. Super plus for me because instead of losing pen somewhere else, it ends up deep in pocket every night, no matter how hard the party goes.","November 28, 2017"
369,love it,5.0 stars,love your 1st pen. needing more color choices and possibly a premium battery. otherwise i love stiiizy. the new leaders in the vape world,"November 14, 2017"
370,good stuff,5.0 stars,i really enjoy this kit!,"May 09, 2023"
371,Best pen ever,5.0 stars,I’ve tried a ton of different companies pens from all over the world this is something totally one of a kind it can’t even be compared honestly all I can say is o my stiiizy,"July 23, 2020"
372,Best,5.0 stars,This place gots it all and delivers,"November 10, 2022"
373,As far as I'm concerned this is the gold standard,5.0 stars,As far as I'm concerned this is the gold standard,"September 30, 2022"
374,420,5.0 stars,delivery or pick up is always a good experience,"December 11, 2021"
375,A classic,5.0 stars,"As far as vape cartridges and reliability go, this is one of the best.","December 10, 2021"
376,Best device around,5.0 stars,Best device around for sure,"November 15, 2021"
377,goods,5.0 stars,Great varieties of flowers. tried purple ⛽,"September 22, 2021"
378,Great shop don’t listen to the 1 stars,5.0 stars,Just go mannnnnnnnnnnnnnn.,"September 05, 2021"
379,Medicated,5.0 stars,"Definitely loving it, i felt like medicated","August 15, 2021"
380,Awesome products,5.0 stars,I’ve always loved this product And for 20 dollars I can get a new starter pack,"December 08, 2020"
381,They got really top quality,5.0 stars,"this shits got me today, I love them","November 19, 2020"
382,The best of the best,5.0 stars,the best of the best for me,"November 18, 2020"
383,Smooth,5.0 stars,Always clean smooth hits !,"September 20, 2020"
384,I just love it.,5.0 stars,Love the sleek slim design. Fits right in my pocket to use wherever I go!,"July 30, 2020"
385,good pen,5.0 stars,used a few times and hit good and hard,"March 01, 2020"
386,t318504,5.0 stars,Best brand I have used.Hit hard with great taste for a good price.,"March 01, 2020"
387,great day,5.0 stars,great day,"February 29, 2020"
388,Nice👌🏽,5.0 stars,I like the product,"January 16, 2020"
389,Dank stuff-samek1,5.0 stars,Fire product-samek1,"January 13, 2020"
390,I love weed,5.0 stars,I really want some weed and get high off concentrates and dabs and be fried,"January 13, 2020"
391,worked great,5.0 stars,really nice good kit,"December 21, 2019"
392,cool,5.0 stars,perfect size fit well on my pockets,"December 07, 2019"
393,I love this company,5.0 stars,I love ordering with them,"December 02, 2019"
394,Love,5.0 stars,I love the stiizy - so convenient- the best thing ever 💜 💜,"September 21, 2019"
395,good kit,5.0 stars,loved the kit,"September 02, 2019"
396,Howweed,5.0 stars,visit: howweed com Thanks.,"August 14, 2019"
397,best,5.0 stars,good stizzy love the brand always works,"August 12, 2019"
398,faded is what I get,5.0 stars,love this stiiizy got the blue one,"August 06, 2019"
399,help!!,5.0 stars,"I'ma be in cali for a bit Orange County, CA I'll pay you if you go get me one i have the money","July 22, 2019"
400,Want me weed and me old 19,5.0 stars,Please with you weed,"July 21, 2019"
401,🔥,5.0 stars,🔥,"July 16, 2019"
402,sour diesel,5.0 stars,I like it,"June 16, 2019"
403,Fast delivery,5.0 stars,Fast deliveryAnd great stuff won't be disappointed,"June 03, 2019"
404,Stiiizy Pen 🖊,5.0 stars,"It gets me high and it tastes good, I love it :)","April 27, 2019"
405,Design,5.0 stars,"I love the colors but maybe branching out into different battery designs like the sourin, I personally don’t smoke nicotine so having a design just as cool would be dope","April 22, 2019"
406,hey,5.0 stars,good medical,"April 07, 2019"
407,Lil cuzzie,5.0 stars,Heyy.. I want u meet me next week,"April 02, 2019"
408,good pens,5.0 stars,best low key pins had mine one a year,"March 29, 2019"
409,Good,5.0 stars,Good,"February 28, 2019"
410,good pins,5.0 stars,nice hitting good carts,"February 27, 2019"
411,J pods,5.0 stars,I can’t find em some one help me please downtown Phoenix,"February 26, 2019"
412,New Client,5.0 stars,Was very happy with their professionalism pricing and quick turn around,"February 21, 2019"
413,Love em but....,5.0 stars,"Just wished I could find them easier. I’ve turned on a few clients from Chicago, Milwaukee to Bay Area Ca. who have all had the same issue - locating refills or replacements. Please give me insight on where to get bulk in Monterey area or anywhere throughout Bay Area. I’ll handle it from there.","February 17, 2019"
414,tom,5.0 stars,luv u all,"February 07, 2019"
415,Prop 1.9,5.0 stars,5.0 Asset,"January 05, 2019"
